Gene,Proteosome,Pathways,Pathway_Count,12,24,48,72,96
Prkar2a,,"DAG, Shh",2,-1.639109532038372,-0.7561957041422538,-0.8790418306986503,-1.733543078104656,-2.3908961613972988
Prkcd,,DAG,1,-1.3497369289398191,-0.0626735687255859,-0.4521746635437011,-0.6687591075897217,-0.7829198837280273
Psma4,,"Shh, Wnt",2,-0.9980274836222344,-0.1966196695963553,0.3343242009480782,0.1484931310017891,0.8314050038655587
Rpn1,,"Shh, Wnt",2,-0.1125720342000313,0.2530986467997245,0.3943692843119315,0.8200942675272636,0.7136789957682304
Rpn2,,"Shh, Wnt",2,-0.6108619372049979,-0.0832964579264334,0.1387432416280098,0.4396437009175606,0.2572695414225237
Rps6,,mTOR,1,0.3949947357177734,0.5736083984375,0.8885855674743652,0.5974292755126953,0.4253349304199219
Sel1l,,Shh,1,-1.1381905873616525,-0.0591803391774483,0.2366019884745291,0.7308613459269218,0.3487237294514997
Serpinh1,,Hsf1,1,-0.1699075698852539,-0.1196126937866211,0.2789716720581054,0.7526335716247559,0.8064022064208984
Snx3,,Wnt,1,-0.2695056597391776,0.1499374707539864,0.5616615613301583,0.7691553433736154,1.081322352091469
Tmed5,,Wnt,1,0.5688972473144531,0.6291346549987793,0.4991521835327148,1.2511591911315918,0.505736033121746
Tubb4b,,Shh,1,-0.4203224182128906,-0.5765981674194336,-0.3219175338745117,-0.9518961906433104,-1.0387636820475272
Tubb5,,Shh,1,-0.196297486623127,-0.1495221455891915,0.3403069178263358,-0.0793841679890938,0.334105173746746
Vcp,,Shh,1,-0.2329878807067871,0.1515827178955078,0.3642749786376953,-0.3773255348205566,-0.2044919331868477
Vps29,,Wnt,1,-0.5555696487426758,-0.0158677101135253,0.100170612335205,-0.8467655181884766,-0.6583054860432931
Vps35,,Wnt,1,-0.4358137448628731,-0.1373165448506661,-0.4150560696919747,-1.377793153127033,-0.8616905212402344
Ywhab,,"Foxo1, mTOR",2,-0.9707848230997732,-0.1179787317911795,-0.523222605387371,-0.8544499079386405,-0.5336742401123047
Ywhag,,Foxo1,1,-0.7148663202921561,-0.2978851000467948,-0.816280523935955,-1.2749730745951346,-0.7076994578043632
Ywhaq,,Foxo1,1,-0.7393933931986503,-0.4073807398478202,-0.3454190889994315,-0.9922558466593436,-0.1293570200602225
Ywhaz,,"Foxo1, Wnt",2,-0.8730630874633789,-0.2055497169494629,-0.3538932800292969,-0.9250607490539552,-0.4651915232340506
